# 格式：阅读定位 | 今日知识点（分号分隔） | 唯一主任务 | 验收结果。每周严格 7 行。
# W01
cpp@5.1,5.2,5.7|声明与定义;library、demo、test 的依赖;CTest 注册|创建 MiniTensor 目录；写返回固定名称的 Tensor 类、demo 和一个断言测试；用 CMake 链接静态库|全新 build 中构建成功；demo 打印名称；ctest 至少发现并通过 1 项测试；今天不做性能测试
cpp@4.2,4.7,5.6|vector 表示动态维度;const 引用参数;shape 与 dtype 是元数据|为 Tensor 增加 shape()、dtype()；构造时保存 {2,3}，暂不分配数据|打印 shape=[2,3]；const Tensor 可读 shape；负维度构造明确拒绝
cpp@4.2,4.8|维度乘积;行主序 stride;零维度与溢出检查|实现 numel() 和连续 stride；明确标量空 shape 的约定|{2,3,4} 得到 numel=24、stride={12,4,1}；{2,0} 为 0；过大乘积报错
cpp@4.2,4.8|线性 offset;逐维边界检查;引用返回值|为连续 Tensor 实现 at(i,j) 和 fill；先仅支持二维|2×3 填入 0…5 后 at(1,2)=5；访问 (2,0) 报错；fill(7) 后全部为 7
cpp@5.7,4.8|断言与测试退出码;正常、边界和非法输入|将前三天示例转为独立 CTest；增加零元素和索引越界测试|至少 3 项测试被发现；故意改错一个预期会返回失败；修复后全部通过
cpp@4.1,4.7|值传递与引用传递;const 成员函数;作用域|在 examples 中写一个小程序，比较按值修改与按引用修改 vector|按值调用后原值不变；按引用后改变；const 示例编译通过，不可修改示例被编译器拒绝
cpp@5.2,9.2|目标链接关系;工作区与构建产物分离|补一份只含安装前提、构建、运行、测试四步的 README；用另一个 build 目录复现|无需已有 demo.exe 即可运行；删除链接库设置能重现 undefined reference，恢复后通过
# W02
cpp@4.3,4.4|生命周期;RAII;异常时自动释放|实现 Storage 的连续 float 缓冲区与构造/析构；先不泛型化|创建/离开作用域只分配释放各一次；零长度合法；不返回悬空指针
cpp@4.6|深拷贝与移动;std::move 只是转换;移动后有效状态|为 Storage 实现深拷贝和移动；写复制独立性和移动后重用测试|改副本不影响原数据；移动不复制缓冲区；移动后对象可析构、可重新赋值
cpp@4.5,4.7|shared_ptr 共享所有权;offset;const 视图接口|Tensor 与 View 共同持有 shared_ptr<Storage>；实现 view 的单元素读写|改 view 可见于 Tensor；销毁原 Tensor 后 view 仍可读；最后一个持有者销毁时释放
torch@1.2;cpp@4.2,4.5|shape 不等于物理布局;transpose 交换 stride;view 的别名语义|先运行 PyTorch reshape/permute 小例子，再为 MiniTensor 写 transpose 和仅连续输入的 reshape|2×3 转置为 3×2，stride 从 {3,1} 到 {1,3}；值不复制；非连续 reshape 在本项目中明确拒绝
cpp@4.2,5.6|矩阵乘法 M/N/K;三重循环索引;正确性优先|只实现 naive CPU matmul；A 为 2×3、B 为 3×2；今天不加 tiled、不做性能报告|A=[[1,2,3],[4,5,6]]，B=[[7,8],[9,10],[11,12]]，C=[[58,64],[139,154]]；K 不匹配报错
cpp@4.8,7.8|越界与 use-after-free;Debug 符号;Sanitizer 报告|为 MiniTensor 增加 ASan/UBSan 构建选项；在独立故障示例中复现越界并修复|故障示例能定位源文件行号；修复后同输入不再报错；故障不混入正常测试
cpp@4.5,4.6;torch@1.2|拷贝和视图的差别;非连续布局的读取|补共享 view 与深拷贝的对照测试，覆盖原对象先析构和转置后访问|复制值独立、视图值共享，两类断言均通过；此前已完成日不要求重做
# W03
cpp@5.5,5.6|模板实例化;类型参数;同 shape 逐元素运算|将 Storage/Tensor 改为模板；只实现同 shape 的 add/mul，暂不实现广播|float/double 两种实例可编译；[1,2]+[3,4]=[4,6]；shape 不同明确拒绝
cpp@4.2;gemm@4.1,4.2|分块复用思想;CPU cache 与 GPU shared memory 的区别;尾块处理|把 W02 的 naive matmul 改写出 CPU tiled 版本；只借鉴分块思想，不照搬 CUDA 线程代码|tile=4 时 5×7 乘 7×3 与 naive 一致；边界 tile 不越界；保留两版函数
cpp@5.8|mutex 与条件变量;任务队列;停止后 join|写最小固定线程池：提交无返回值任务、等待结束、析构停止；暂不接入矩阵乘|提交 100 次计数任务最后为 100；空队列析构不挂起；禁止忙等循环
cpp@5.8,3.6|互不重叠的输出行;同步等待;并行粒度|用线程池按输出行分块调用 matmul；等待所有任务后返回|1/2/4 线程结果一致；M 小于线程数不漏行；小矩阵允许变慢，不要求加速
cpp@3.6,5.7|warmup;重复计时与中位数;Release 对比|给 naive/tiled/parallel 写同一计时入口；测小、中两组 shape，先校验再计时|记录编译选项、CPU、shape、线程数、warmup 和重复次数；输出 3 版中位延迟；不编造提升
cpp@5.5,5.6|右对齐广播;维度为 1 的复用;非法广播|只实现二维 add 广播 [M,N]+[1,N]；为模板版本增加参数化测试|[2,3]+[1,3] 结果正确；[2,3]+[2,2] 被拒绝；float/double 均通过
cpp@5.7,9.1|可复现构建;warning;接口支持范围|整理 MiniTensor v0.1：README、CTest 和 Debug/Release 配置；不新增算子|全新目录可构建；明确只支持的 dtype/广播/reshape；测试与 benchmark 命令均可执行
# W04
cpp@4.2,3.6|连续访问与跨步访问;工作集;测量噪声|用同一二维数组分别按行和按列求和；扫描 3 个规模|两种求和一致；记录相同元素数的耗时；不把复杂度相同当成耗时相同
cpp@4.2;gemm@4.1|CPU 分块转置;局部性;边界 tile|在 CPU 上写 naive 与 blocked transpose；只改变 tile 大小|5×7 非方阵转置正确；大矩阵比较 8/16/32 三种 tile；结果包含不变快的情况
cpp@5.1|预处理、汇编、目标文件;优化级别;循环向量化|用 g++ -S 分别生成小型 add 循环的 -O0/-O3 汇编，标出循环体|保留源文件和两个汇编产物；若未向量化，记录实际编译器反馈，不假定一定生成 SIMD
cpp@5.8|数据竞争;atomic;false sharing 与共享数据区分|比较两个线程更新各自相邻计数器和填充后计数器；先保证无数据竞争|两个计数值正确；记录相同迭代数耗时；知道填充不会修复真正的数据竞争
cpp@5.1;compiler@本章简介|源码到 IR 到机器码;优化必须保持语义|为一个 if/else 表达式写三地址码，并用 Python 小解释器执行|正负两组输入与原表达式相同；原文只是编译器概览，三地址码解释器是扩展练习
cpp@3.6,3.7|重复采样;热点占比;Amdahl 上限|在 MiniTensor benchmark 中区分初始化与算子时间；定位最长的一段|报告不把分配算进纯 kernel 时间；给出热点比例和理论上限，非实测的数字明确标识
cpp@9.4|最小复现;一次只改一个变量|修复本周一个真实结果异常；保留最小输入和回归测试|问题、触发输入、修复后输出可复现；若没有异常，则补一个非整 tile 回归
# W05
torch@1.1,1.2,1.4;attn@3.1|Tensor shape;Q/K/V 投影;矩阵乘维度|用 PyTorch 创建 B=2,S=4,H=8 的输入与三个权重，生成 Q/K/V|打印三个 [2,4,8] 张量；错误权重维度会报错；不在第一天拼完整 Decoder
attn@3.2,3.3,3.4,3.5,10|缩放点积;softmax 轴;causal mask|实现单头 causal attention 的 PyTorch reference|未来位置概率为 0；每行概率和约 1；与手动小矩阵计算一致
